punto;TDS_dic9_18;TDS_B2;TDS_B3;TDS_B4;TDS_B5;TDS_B6;TDS_B7;TDS_B8;TDS_B8A;TDS_B11;TDS_B12
1;168.082;0.01663;0.01686;0.01321;0.01440;0.01157;0.01250;0.00983;0.01091;0.00925;0.00673
2;168.966;0.01848;0.01877;0.01616;0.01651;0.01218;0.01319;0.01083;0.00971;0.00945;0.00700
3;167.066;0.01790;0.02001;0.01769;0.01748;0.01305;0.01313;0.01102;0.01116;0.00761;0.00601
4;164.189;0.01895;0.02338;0.02093;0.02079;0.01329;0.01381;0.01108;0.01141;0.00748;0.00594
5;160.558;0.02186;0.03103;0.02742;0.02688;0.01477;0.01754;0.01321;0.01406;0.00997;0.00640
6;162.403;0.01774;0.02231;0.01910;0.01983;0.01052;0.01182;0.00870;0.00908;0.00584;0.00469
7;163.975;0.01642;0.01759;0.01333;0.01386;0.01286;0.01686;0.01189;0.01305;0.00879;0.00634
8;160.555;0.01541;0.01473;0.01091;0.01266;0.01015;0.01151;0.00914;0.01066;0.00768;0.00521
9;161.957;0.02629;0.03378;0.02830;0.02856;0.01655;0.01773;0.01402;0.01349;0.00873;0.00700
10;161.042;0.02212;0.03198;0.02889;0.02838;0.01477;0.01555;0.01252;0.01103;0.00715;0.00389
11;162.283;0.01906;0.02541;0.02087;0.02163;0.01200;0.01344;0.01052;0.01040;0.00604;0.00442
12;163.236;0.02048;0.02501;0.02241;0.02224;0.01255;0.01306;0.01020;0.00984;0.00577;0.00403
13;161.755;0.02597;0.03136;0.02677;0.02766;0.01705;0.01711;0.01440;0.01299;0.00873;0.00627
14;162.129;0.02444;0.03350;0.02931;0.02881;0.01489;0.01618;0.01227;0.01166;0.00643;0.00482
15;162.743;0.02418;0.03238;0.02771;0.02760;0.01600;0.01742;0.01352;0.01211;0.00840;0.00581
16;162.751;0.01673;0.02130;0.01775;0.01832;0.01286;0.01468;0.01239;0.01223;0.00925;0.00634
17;160.762;0.02333;0.03513;0.03243;0.03212;0.01754;0.01848;0.01446;0.01356;0.00859;0.00587
18;161.692;0.02112;0.02777;0.02471;0.02495;0.01194;0.01238;0.00920;0.00813;0.00571;0.00449
19;161.124;0.01626;0.01990;0.01616;0.01639;0.01378;0.01499;0.01271;0.01362;0.00905;0.00627
20;161.857;0.01695;0.01832;0.01486;0.01657;0.01231;0.01381;0.01183;0.01129;0.00754;0.00488
21;162.359;0.01457;0.01557;0.01274;0.01284;0.01102;0.01213;0.01039;0.01028;0.00761;0.00508
22;161.890;0.01621;0.01574;0.01262;0.01278;0.00972;0.01145;0.00876;0.00958;0.00787;0.00620
23;161.187;0.02133;0.03080;0.02624;0.02742;0.01317;0.01456;0.01070;0.01141;0.00741;0.00581
24;161.258;0.02180;0.02794;0.02435;0.02368;0.01231;0.01350;0.01039;0.00952;0.00774;0.00535
25;162.755;0.01658;0.02254;0.01928;0.01995;0.01089;0.01145;0.00864;0.00883;0.00545;0.00389
26;164.028;0.01953;0.02288;0.01863;0.02013;0.01415;0.01437;0.01139;0.01185;0.00846;0.00620
27;165.290;0.01531;0.01950;0.01598;0.01651;0.01108;0.01244;0.00933;0.00921;0.00623;0.00469
28;166.435;0.01636;0.01669;0.01451;0.01446;0.01034;0.01151;0.00958;0.00958;0.00604;0.00475
29;169.012;0.01811;0.01900;0.01486;0.01549;0.01231;0.01300;0.01083;0.01116;0.00932;0.00693
30;168.205;0.01737;0.01799;0.01415;0.01597;0.01354;0.01841;0.01171;0.01614;0.01037;0.00706
31;167.651;0.01795;0.02417;0.02040;0.02073;0.01175;0.01381;0.01014;0.01009;0.00695;0.00416
32;168.100;0.01642;0.01714;0.01362;0.01470;0.01065;0.01157;0.00977;0.00996;0.00728;0.00515
33;162.048;0.01985;0.02760;0.02388;0.02248;0.01218;0.01313;0.01033;0.01028;0.00715;0.00502
34;162.953;0.01774;0.02378;0.01952;0.01995;0.01083;0.01182;0.00951;0.00933;0.00564;0.00422
35;166.266;0.01705;0.02102;0.01745;0.01874;0.01200;0.01288;0.01002;0.01015;0.00604;0.00422
36;163.818;0.01800;0.01754;0.01563;0.01633;0.01409;0.02090;0.01290;0.01507;0.00859;0.00594
37;161.684;0.01985;0.02878;0.02600;0.02453;0.01212;0.01244;0.01083;0.00939;0.00630;0.00389
38;165.911;0.01853;0.02299;0.01964;0.01989;0.01243;0.01313;0.01045;0.00984;0.00604;0.00422
39;166.002;0.01805;0.02125;0.01905;0.01886;0.01366;0.01362;0.01164;0.01078;0.00695;0.00462
40;166.437;0.01668;0.01894;0.01757;0.01730;0.01132;0.01201;0.00945;0.00952;0.00545;0.00449
42;164.591;0.02064;0.02647;0.02247;0.02296;0.01446;0.01580;0.01321;0.01211;0.00768;0.00594
43;164.179;0.01821;0.02333;0.01964;0.02055;0.01249;0.01306;0.01002;0.01009;0.00564;0.00271
44;163.651;0.01863;0.02394;0.02070;0.02049;0.01126;0.01350;0.00964;0.00996;0.00558;0.00389
45;163.959;0.02032;0.02647;0.02306;0.02302;0.01532;0.01568;0.01052;0.01211;0.00715;0.00594
46;163.292;0.02138;0.02670;0.02412;0.02350;0.01329;0.01387;0.01158;0.01185;0.00768;0.00574
47;164.270;0.01995;0.02468;0.02223;0.02218;0.01305;0.01437;0.00989;0.01059;0.00682;0.00495
48;165.318;0.01985;0.02490;0.02005;0.02121;0.01397;0.01431;0.01196;0.01173;0.00669;0.00416
49;161.255;0.01468;0.01411;0.01091;0.01253;0.01311;0.02003;0.01671;0.01690;0.00846;0.00502
50;162.726;0.01642;0.01557;0.01350;0.01272;0.01089;0.01107;0.00970;0.01003;0.00859;0.00667
51;162.007;0.02196;0.03243;0.02329;0.03833;0.05151;0.06762;0.04751;0.05567;0.02821;0.01571
52;163.920;0.01457;0.01484;0.01179;0.01205;0.00954;0.00946;0.00770;0.00870;0.00669;0.00462
53;165.266;0.01663;0.01669;0.01327;0.01663;0.02757;0.02905;0.02085;0.01904;0.01273;0.00680
54;164.812;0.01827;0.02288;0.01910;0.02037;0.01175;0.01306;0.00983;0.00996;0.00571;0.00376
55;161.982;0.01911;0.02552;0.02229;0.02314;0.01132;0.01219;0.00945;0.00933;0.00597;0.00455
56;160.631;0.02275;0.03401;0.03066;0.03067;0.01674;0.01817;0.01408;0.01230;0.00892;0.00548
